вид транспорта	пункт отправления	пункт назначения	день (отбытие)	месяц  (отбытие)	год (отбытие)	день (прибытие)	месяц (прибытие)	год (прибытие)	время отправки	время прибытия	время в пути	компания	цена
автобус	Санкт-Петербург	Казань	28	10	2022	29	10	2022	16:10	13:30	21 ч 20 м	Ecolines	3204
автобус	Санкт-Петербург	Нижний Новгород	28	10	2022	29	10	2022	16:00	6:20	14 ч 20 м	Ecolines	2622
автобус	Санкт-Петербург	Нижний Новгород	28	10	2022	29	10	2022	16:10	6:50	14 ч 40 м	Ecolines	2341
автобус	Нижний Новгород 	Чебоксары	29	10	2022	29	10	2022	9:20	13:35	4 ч 15 м	Козин В.А.	1074
автобус	Нижний Новгород 	Чебоксары	29	10	2022	29	10	2022	9:32	14:10	4 ч 38 м	Альбатрос	938
автобус	Нижний Новгород 	Чебоксары	29	10	2022	29	10	2022	10:31	14:46	4 ч 15 м	Альбатрос	938
автобус	Нижний Новгород 	Чебоксары	29	10	2022	29	10	2022	11:30	15:30	4 ч	Альбатрос	1068
автобус	Нижний Новгород 	Чебоксары	29	10	2022	29	10	2022	12:46	17:15	4 ч 29 м	Альбатрос	1072
автобус	Чебоксары	Казань	29	10	2022	29	10	2022	16:50	19:40	2 ч 50 м	Макаров А.Г.	642
автобус	Чебоксары	Казань	29	10	2022	29	10	2022	18:58	21:58	3 ч	Богданова Е.Г.	642
автобус	Санкт-Петербург	Чебоксары	28	10	2022	29	10	2022	16:00	10:00	18 ч	Ecolines	3342
автобус	Санкт-Петербург	Чебоксары	28	10	2022	29	10	2022	16:10	10:50	18 ч 40 м	Ecolines	2957
автобус	Нижний Новгород 	Казань	29	10	2022	30	10	2022	23:10	5:15	6 ч 15 м	Автовокзал Восточный	1284
автобус	Нижний Новгород 	Казань	29	10	2022	30	10	2022	23:30	6:15	6 ч 45 м	Intercars Europe	1269
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	5:20	10:20	5 ч	Новосибмежгортранс	852
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	5:50	10:20	4 ч 30 м	Новосибмежгортранс	818
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	6:49	10:19	4 ч 30 м	Лядусов А.Н.	795
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	8:47	13:17	4 ч 30 м	Лядусов А.Н.	795
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	9:46	14:16	4 ч 30 м	Лядусов А.Н.	795
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	10:17	14:47	4 ч 30 м	НСК-Авто	852
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	11:50	16:40	4 ч 50 м	Автотранссиб	908
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	13:00	18:00	5 ч	Пассажирские перевозки	863
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	13:30	18:00	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	14:20	18:00	3 ч 40 м	Гриднев С.Ф.	965
автобус	Новосибирск	Барнаул	31	10	2022	31	10	2022	18:00	22:30	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	31	10	2022	1	11	2022	20:00	0:30	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	31	10	2022	1	11	2022	21:40	2:10	4 ч 30 м	Автотранссиб	1045
автобус	Новосибирск	Барнаул	31	10	2022	1	11	2022	22:10	2:10	4 ч	Автотранссиб	1045
автобус	Новосибирск	Барнаул	31	10	2022	1	11	2022	22:45	2:50	4 ч 5 м	Автотранссиб	908
автобус	Новосибирск	Барнаул	31	10	2022	1	11	2022	23:35	3:15	3 ч 40 м	Гриднев С.Ф.	965
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	5:20	10:20	5 ч	Новосибмежгортранс	852
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	5:50	10:20	4 ч 30 м	Новосибмежгортранс	818
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	6:49	11:19	4 ч 30 м	Лядусов А.Н.	795
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	8:47	13:17	4 ч 30 м	Лядусов А.Н.	795
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	9:46	14:16	4 ч 30 м	Лядусов А.Н.	795
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	10:17	14:47	4 ч 30 м	НСК-Авто	852
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	11:15	15:45	4 ч 30 м	Автотранссиб	988
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	11:50	16:40	4 ч 50 м	Автотранссиб	908
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	12:45	17:15	4 ч 30 м	Лебедев С.Ю.	852
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	13:00	18:00	5 ч	Пассажирские перевозки	804
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	13:30	18:00	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	14:20	18:00	3 ч 40 м	Гриднев С.Ф.	965
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	15:00	19:30	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	16:30	21:00	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	16:40	20:40	4 ч	Гриднев С.Ф.	965
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	18:00	22:30	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	30	10	2022	30	10	2022	19:00	23:30	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	30	10	2022	31	10	2022	20:00	0:30	4 ч 30 м	Пассажирские перевозки	852
автобус	Новосибирск	Барнаул	30	10	2022	31	10	2022	21:40	2:10	4 ч 30 м	Автотранссиб	1045
автобус	Новосибирск	Барнаул	30	10	2022	31	10	2022	22:10	2:10	4 ч	Автотранссиб	1045
самолет	Санкт-Петербург	Казань	28	10	2022	28	10	2022	13:10	15:20	2 ч 10 мин	Smartavia	2760
самолет	Санкт-Петербург	Казань	28	10	2022	28	10	2022	10:30	12:40	2 ч 10 мин	Победа	3015
самолет	Санкт-Петербург	Казань	28	10	2022	28	10	2022	2:05	4:15	2 ч 10 мин	Северный ветер	2995
самолет	Санкт-Петербург	Казань	28	10	2022	28	10	2022	18:15	20:20	2 ч 5 мин	Северный ветер	2995
самолет	Санкт-Петербург	Казань	28	10	2022	28	10	2022	18:50	20:55	2 ч 5 мин	Победа	3058
самолет	Санкт-Петербург	Казань	28	10	2022	28	10	2022	11:00	13:10	2 ч 10 мин	Smartavia	3260
самолет	Санкт-Петербург	Новосибирск	28	10	2022	29	10	2022	23:45	8:15	4 ч 30 мин	Победа	3990
самолет	Санкт-Петербург 	Новосибирск	28	10	2022	29	10	2022	16:45	1:05	4 ч 20 мин	S7 Airlines	5309
самолет	Санкт-Петербург 	Новосибирск	28	10	2022	28	10	2022	13:15	21:35	5 ч 20 мин	S7 Airlines	5309
самолет	Санкт-Петербург 	Новосибирск	28	10	2022	29	10	2022	22:50	7:10	4 ч 20 мин	S7 Airlines	5309
самолет	Санкт-Петербург 	Новосибирск	28	10	2022	29	10	2022	21:30	5:45	4 ч 15 мин	Аэрофлот	5319
самолет	Санкт-Петербург 	Нижний Новгород	28	10	2022	29	10	2022	22:40	0:25	1 ч 45 мин	Северный ветер	36151
самолет	Казань	Барнаул	30	10	2022	30	10	2022	3:10	10:40	3 ч 30 мин	ЮВТ Аэро	8304
самолет	Санкт-Петербург 	Москва	28	10	2022	29	10	2022	23:50	1:10	1 ч 20 мин	Аэрофлот	2294
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	21:10	22:40	1 ч 30 мин	Utair	3895
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	22:55	23:55	1 ч 30 мин	Аэрофлот	2869
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	21:45	23:20	1 ч 35 мин	Победа	2930
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	5:00	6:35	1 ч 35 мин	S7 Airlines	3500
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	18:20	19:45	1 ч 25 мин	Северный ветер	3539
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	14:15	15:55	1 ч 40 мин	Аэрофлот	3554
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	11:55	13:25	1 ч 30 мин	Аэрофлот	3554
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	1:30	2:55	1 ч 25 мин	Аэрофлот	2294
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	5:50	7:15	1 ч 25 мин	Аэрофлот	2869
самолет	Санкт-Петербург 	Москва	28	10	2022	28	10	2022	22:15	23:50	1 ч 35 мин	S7 Airlines	3500
самолет	Москва	Нижний Новгород	29	10	2022	29	10	2022	9:45	11:00	1 ч 15 мин	Аэрофлот	6020
самолет	Москва	Нижний Новгород	29	10	2022	29	10	2022	6:00	7:20	1 ч 20 мин	Аэрофлот	4270
самолет	Москва	Нижний Новгород	28	10	2022	28	10	2022	19:55	21:05	1 ч 10 мин	S7 Airlines	5781
самолет	Москва	Чебоксары	29	10	2022	29	10	2022	14:30	15:55	1 ч 25 мин	Победа	4887
самолет	Москва	Чебоксары	29	10	2022	29	10	2022	8:20	9:40	1 ч 20 мин	Победа	6286
самолет	Москва	Новосибирск	29	10	2022	30	10	2022	23:45	7:55	4 ч 10 мин	Победа	4436
самолет	Москва	Новосибирск	29	10	2022	29	10	2022	0:30	8:25	3 ч 55 мин	Smartavia	9113
самолет	Москва Новосибирск		29	10	2022	30	10	2022	22:55	6:50	3 ч 55 мин	Уральские авиалинии	5060
самолет	Москва 	Новосибирск	29	10	2022	29	10	2022	6:25	14:25	4 ч	Аэрофлот	6938
самолет	Москва 	Новосибирск	30	10	2022	31	10	2022	21:10	5:10	4 ч	Победа	2344
самолет	Москва	Новосибирск	30	10	2022	30	10	2022	0:30	8:25	3 ч 55 мин	Smartavia	4330
самолет	Москва	Новосибирск	30	10	2022	31	10	2022	23:55	8:00	4 ч 05 мин	Победа	2842
самолет	Москва	Новосибирск	30	10	2022	31	10	2022	23:05	6:55	3 ч 50 мин	Уральские авиалинии	5060
самолет	Санкт-Петербург	Чебоксары	28	10	2022	28	10	2022	12:20	14:20	2 ч	Победа	5500
самолет	Санкт-Петербург	Москва	28	10	2022	29	10	2022	23:50	1:10	1 ч 20 мин	Аэрофлот	2869
самолет	Санкт-Петербург	Москва	28	10	2022	29	10	2022	22:55	0:25	1 ч 20 мин	Аэрофлот	2869
